#AMS02 (2011/05-2016/05)
# Qty    <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
He 1.523364e+01 1.464581e+01 1.584382e+01 4.355246e-01 4.006666e-04 4.006666e-04 5.809665e-03 5.809665e-03 5.823465e-03 5.823465e-03
He 1.406086e+01 1.349804e+01 1.464581e+01 5.334319e-01 6.011629e-04 6.011629e-04 7.213954e-03 7.213954e-03 7.238959e-03 7.238959e-03
He 1.296426e+01 1.245040e+01 1.349804e+01 6.540730e-01 6.013543e-04 6.013543e-04 8.819863e-03 8.819863e-03 8.840340e-03 8.840340e-03
He 1.194196e+01 1.145303e+01 1.245040e+01 8.013030e-01 8.021050e-04 8.021050e-04 1.062789e-02 1.062789e-02 1.065812e-02 1.065812e-02
He 1.096995e+01 1.050594e+01 1.145303e+01 9.880345e-01 1.003081e-03 1.003081e-03 1.324067e-02 1.324067e-02 1.327861e-02 1.327861e-02
He 1.007421e+01 9.658996e+00 1.050594e+01 1.213760e+00 1.204327e-03 1.204327e-03 1.605769e-02 1.605769e-02 1.610279e-02 1.610279e-02
He 9.252757e+00 8.862353e+00 9.658996e+00 1.490856e+00 1.405900e-03 1.405900e-03 1.968260e-02 1.968260e-02 1.973275e-02 1.973275e-02
He 1.782800e+01 1.714195e+01 1.854022e+01 2.917603e-01 4.004946e-04 4.004946e-04 4.004947e-03 4.004947e-03 4.024922e-03 4.024922e-03
He 7.760931e+00 7.420075e+00 8.116039e+00 2.263047e+00 2.011597e-03 2.011597e-03 3.017395e-02 3.017395e-02 3.024093e-02 3.024093e-02
He 7.090607e+00 6.774476e+00 7.420075e+00 2.790900e+00 2.013637e-03 2.013637e-03 3.624546e-02 3.624546e-02 3.630135e-02 3.630135e-02
He 6.470691e+00 6.179251e+00 6.774476e+00 3.429292e+00 2.016045e-03 2.016045e-03 4.435299e-02 4.435299e-02 4.439879e-02 4.439879e-02
He 5.901186e+00 5.634392e+00 6.179251e+00 4.211363e+00 4.037741e-03 4.037741e-03 5.450950e-02 5.450950e-02 5.465884e-02 5.465884e-02
He 5.382078e+00 5.139870e+00 5.634392e+00 5.156494e+00 4.044309e-03 4.044309e-03 6.673110e-02 6.673110e-02 6.685354e-02 6.685354e-02
He 4.887594e+00 4.646324e+00 5.139870e+00 6.323635e+00 4.052313e-03 4.052313e-03 8.307242e-02 8.307242e-02 8.317120e-02 8.317120e-02
He 4.419892e+00 4.203201e+00 4.646324e+00 7.803253e+00 4.062079e-03 4.062079e-03 1.015520e-01 1.015520e-01 1.016332e-01 1.016332e-01
