#AMS02 (2011/05-2017/11)
# Qty    <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
e+ 1.580000e+00 1.460000e+00 1.720000e+00 1.196000e+00 5.000000e-03 5.000000e-03 2.100000e-02 2.100000e-02 2.158703e-02 2.158703e-02
e+ 1.330000e+00 1.220000e+00 1.460000e+00 1.528000e+00 7.000000e-03 7.000000e-03 3.200000e-02 3.200000e-02 3.275668e-02 3.275668e-02
e+ 1.110000e+00 1.010000e+00 1.220000e+00 1.929000e+00 1.100000e-02 1.100000e-02 4.900000e-02 4.900000e-02 5.021952e-02 5.021952e-02
e+ 9.100000e-01 8.200000e-01 1.010000e+00 2.272000e+00 1.600000e-02 1.600000e-02 7.100000e-02 7.100000e-02 7.278049e-02 7.278049e-02
e+ 7.300000e-01 6.500000e-01 8.200000e-01 2.576000e+00 2.900000e-02 2.900000e-02 1.050000e-01 1.050000e-01 1.089312e-01 1.089312e-01
e+ 5.700000e-01 5.000000e-01 6.500000e-01 2.669000e+00 1.090000e-01 1.090000e-01 1.410000e-01 1.410000e-01 1.782190e-01 1.782190e-01
e+ 1.299000e+01 1.259000e+01 1.341000e+01 5.668000e-03 4.200000e-05 4.200000e-05 7.500000e-05 7.500000e-05 8.595929e-05 8.595929e-05
e+ 2.058000e+01 2.004000e+01 2.113000e+01 1.454000e-03 1.500000e-05 1.500000e-05 2.000000e-05 2.000000e-05 2.500000e-05 2.500000e-05
e+ 1.951000e+01 1.899000e+01 2.004000e+01 1.666000e-03 1.700000e-05 1.700000e-05 2.300000e-05 2.300000e-05 2.860070e-05 2.860070e-05
e+ 1.848000e+01 1.798000e+01 1.899000e+01 1.933000e-03 1.900000e-05 1.900000e-05 2.600000e-05 2.600000e-05 3.220248e-05 3.220248e-05
e+ 1.748000e+01 1.700000e+01 1.798000e+01 2.293000e-03 2.200000e-05 2.200000e-05 3.100000e-05 3.100000e-05 3.801316e-05 3.801316e-05
e+ 1.652000e+01 1.605000e+01 1.700000e+01 2.718000e-03 2.500000e-05 2.500000e-05 3.700000e-05 3.700000e-05 4.465423e-05 4.465423e-05
e+ 1.559000e+01 1.514000e+01 1.605000e+01 3.262000e-03 2.800000e-05 2.800000e-05 4.400000e-05 4.400000e-05 5.215362e-05 5.215362e-05
e+ 1.469000e+01 1.425000e+01 1.514000e+01 3.864000e-03 3.200000e-05 3.200000e-05 5.100000e-05 5.100000e-05 6.020797e-05 6.020797e-05
e+ 1.382000e+01 1.341000e+01 1.425000e+01 4.643000e-03 3.700000e-05 3.700000e-05 6.100000e-05 6.100000e-05 7.134424e-05 7.134424e-05
e+ 2.168000e+01 2.113000e+01 2.225000e+01 1.214000e-03 1.400000e-05 1.400000e-05 1.700000e-05 1.700000e-05 2.202272e-05 2.202272e-05
e+ 1.219000e+01 1.180000e+01 1.259000e+01 6.918000e-03 4.800000e-05 4.800000e-05 9.000000e-05 9.000000e-05 1.020000e-04 1.020000e-04
e+ 1.141000e+01 1.104000e+01 1.180000e+01 8.302000e-03 5.500000e-05 5.500000e-05 1.080000e-04 1.080000e-04 1.211982e-04 1.211982e-04
e+ 1.067000e+01 1.032000e+01 1.104000e+01 1.007000e-02 6.000000e-05 6.000000e-05 1.300000e-04 1.300000e-04 1.431782e-04 1.431782e-04
e+ 9.960000e+00 9.620000e+00 1.032000e+01 1.242000e-02 7.000000e-05 7.000000e-05 1.600000e-04 1.600000e-04 1.746425e-04 1.746425e-04
e+ 9.280000e+00 8.950000e+00 9.620000e+00 1.530000e-02 8.000000e-05 8.000000e-05 1.900000e-04 1.900000e-04 2.061553e-04 2.061553e-04
e+ 8.620000e+00 8.300000e+00 8.950000e+00 1.900000e-02 1.000000e-04 1.000000e-04 2.400000e-04 2.400000e-04 2.600000e-04 2.600000e-04
e+ 7.990000e+00 7.690000e+00 8.300000e+00 2.406000e-02 1.200000e-04 1.200000e-04 3.000000e-04 3.000000e-04 3.231099e-04 3.231099e-04
e+ 7.390000e+00 7.100000e+00 7.690000e+00 3.018000e-02 1.400000e-04 1.400000e-04 3.700000e-04 3.700000e-04 3.956008e-04 3.956008e-04
